Station Number,Sample ID,Sample Date,Statutory Class,Attained Class,Report,Final Determination
S-109,197,8/24/1987,B,Yes,Report,B
S-110,198,8/24/1987,B,Yes,Report,A
S-111,SA-111-2006,7/11/2006,--,--,Report,
S-111,SA-111-2006R (545),7/11/2006,AA,Yes,,A
S-111,SA-111-2011,6/28/2011,--,--,,
S-111,SA-111-2011R (1062),6/28/2011,AA,Yes,,A
S-111,199,8/25/1987,AA,Yes,Report,A
S-111,256,8/22/1989,AA,No,,B
S-111,579,8/30/1996,AA,No,,B
S-111,1041,8/28/2001,AA,Yes,,A
S-111,1577,8/21/2006,AA,Yes,,A
S-111,2057,8/24/2011,AA,Yes,View,A
S-111,2507,8/23/2016,AA,Yes,View,A
S-112,SA-112-2003,7/29/2003,--,--,Report,
S-112,SA-112-2003R (240),7/29/2003,AA,Yes,,A
S-112,SA-112-2006,7/11/2006,--,--,,
S-112,SA-112-2006R (548),7/11/2006,AA,Yes,,A
S-112,SA-112-2011,6/28/2011,--,--,,
S-112,SA-112-2011R (1061),6/28/2011,AA,Yes,,A
S-112,SA-112-2016,7/11/2016,--,--,,
S-112,SA-112-2016R (1635),7/11/2016,--,--,,
S-112,200,8/25/1987,AA,Yes,Report,A
S-112,1578,8/21/2006,AA,Yes,,A
S-112,2054,8/24/2011,AA,Yes,View,A
S-112,2508,8/23/2016,AA,Yes,View,A
S-113,SA-113-2001,7/6/2001,--,--,Report,
