Station Number,Station,Town,County,Major Drainage,Site Type,Sample Type,Latitude,Longitude
S-102,WILD RIVER - STATION 102,BATCHELDERS GRANT TWP,OXFORD,ANDROSCOGGIN,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.36046742,-70.99496081
S-103,WILD RIVER - STATION 103,GILEAD,OXFORD,ANDROSCOGGIN,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.38831505,-70.97976097
S-104,MARTIN STREAM - STATION 104,TURNER,ANDROSCOGGIN,ANDROSCOGGIN,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.28021177,-70.27598489
S-105,MARTIN STREAM - STATION 105,TURNER,ANDROSCOGGIN,ANDROSCOGGIN,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.34097786,-70.24682576
S-106,BRANCH BROOK - STATION 106,SANFORD,YORK,SACO,STREAM/RIVER BIOMONITORING,ALGAE,43.38347100,-70.68953700
S-106,BRANCH BROOK - STATION 106,SANFORD,YORK,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.38347100,-70.68953700
S-107,BACK BROOK - STATION 107,LIMINGTON,YORK,SACO,STREAM/RIVER BIOMONITORING,ALGAE,43.78765265,-70.73516804
S-107,BACK BROOK - STATION 107,LIMINGTON,YORK,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.78765265,-70.73516804
S-108,BACK BROOK - STATION 108,LIMINGTON,YORK,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.77341020,-70.72950427
S-109,OSSIPEE RIVER - STATION 109,PORTER,OXFORD,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.78563040,-70.95617670
S-110,LITTLE RIVER - STATION 110,NORTH BERWICK,YORK,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.37209968,-70.84550633
S-111,NARRAGUAGUS RIVER - STATION 111,DEBLOIS,WASHINGTON,MAINE COASTAL,STREAM/RIVER BIOMONITORING,ALGAE,44.74134500,-68.01282200
S-111,NARRAGUAGUS RIVER - STATION 111,DEBLOIS,WASHINGTON,MAINE COASTAL,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.74134500,-68.01282200
S-112,NARRAGUAGUS RIVER - STATION 112,BEDDINGTON,WASHINGTON,MAINE COASTAL,STREAM/RIVER BIOMONITORING,ALGAE,44.84380524,-68.06988919
S-112,NARRAGUAGUS RIVER - STATION 112,BEDDINGTON,WASHINGTON,MAINE COASTAL,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.84380524,-68.06988919
S-113,CHASE MILLS STREAM - STATION 113,EAST MACHIAS,WASHINGTON,MAINE COASTAL,STREAM/RIVER BIOMONITORING,ALGAE,44.75436436,-67.36842062
S-113,CHASE MILLS STREAM - STATION 113,EAST MACHIAS,WASHINGTON,MAINE COASTAL,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.75436436,-67.36842062
