FID,FID_1,Station_Nu,Station,Town,County,Major_Drai,Site_Type,Sample_Typ,Latitude,Longitude,PctImperv
45,49,S-329,PRESUMPSCOT RIVER - STATION 329,WINDHAM,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.733670990000000,-70.423809079999998,0.1210000
46,36,S-296,PRESUMPSCOT RIVER - STATION 296,WESTBROOK,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.687807999999997,-70.342983000000004,0.3150000
47,78,S-456,PRESUMPSCOT RIVER - STATION 456,WESTBROOK,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.690690549999999,-70.334114040000003,0.3150000
48,175,W-014,UNNAMED TRIBUTARY TO PRESUMPSCOT RIVER - W-014,WESTBROOK,CUMBERLAND,SACO,WETLAND,WETLAND,43.691972100000001,-70.345837029999998,0.3150000
49,209,W-182,HOME DEPOT - W-182,PORTLAND,CUMBERLAND,SACO,WETLAND MITIGATION,WETLAND,43.684640989999998,-70.325383099999996,0.3150000
50,55,S-380,MILL BROOK - STATION 380,WESTBROOK,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.741065700000000,-70.353607030000006,0.0620000
51,56,S-381,MILL BROOK - STATION 381,WESTBROOK,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.702838260000000,-70.339294030000005,0.1320000
52,125,S-758,PISCATAQUA RIVER - STATION 758,CUMBERLAND,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.813227140000002,-70.302089899999999,0.0770000
53,179,W-018,BLACK POND OUTLET - W-018,SWEDEN,OXFORD,SACO,WETLAND,WETLAND,44.142556130000003,-70.797268869999996,0.0080000
54,202,W-130,BLACK POND - W-130,SWEDEN,OXFORD,SACO,WETLAND,WETLAND,44.143596649999999,-70.797508100000002,0.0080000
55,66,S-409,LONG CREEK (BLANCHETTE BROOK) - STATION 409,WESTBROOK,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.648167819999998,-70.350249160000004,0.2260000
56,100,S-571,LONG CREEK (BLANCHETTE BROOK) - STATION 571,WESTBROOK,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,ALGAE,43.647993100000001,-70.356921090000000,0.2260000
57,206,W-171,UNNAMED TRIBUTARY TO LONG CREEK (BLANCHETTE BROOK) - W-171,WESTBROOK,CUMBERLAND,SACO,WETLAND MITIGATION,WETLAND,43.646622010000002,-70.364046569999999,0.2260000
58,68,S-411,LONG CREEK - STATION 411,WESTBROOK,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.647374800000001,-70.351564339999996,0.1140000
59,147,S-1015,LONG CREEK - STATION 1015,SOUTH PORTLAND,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.643639999999998,-70.353189999999998,0.1140000
60,188,W-027,HEAD OF LONG CREEK - W-027,SOUTH PORTLAND,CUMBERLAND,SACO,WETLAND,WETLAND,43.636050689999998,-70.348916349999996,0.1140000
61,189,W-028,LONG CREEK (BELOW GANNETT DR) - W-028,SOUTH PORTLAND,CUMBERLAND,SACO,WETLAND,WETLAND,43.641652180000001,-70.355225079999997,0.1140000
62,67,S-410,LONG CREEK - STATION 410,SOUTH PORTLAND,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.639837909999997,-70.332005899999999,0.3260000
